url,label
https://www.google.com,0
https://google.com.au,0
https://amazon.in,0
https://www.amazon.in/deals,0
https://github.com/login,0
https://www.microsoft.com/en-us/security,0
https://www.apple.com/in,0
https://www.linkedin.com/feed,0
https://stackoverflow.com/questions,0
https://www.wikipedia.org,0
https://accounts.google.com/signin,0
https://www.paypal.com/signin,0
https://secure-login-google.com/verify,1
http://apple.com.verify-user.xyz/login,1
http://amazon.in.verify-user.xyz/account/update,1
http://paypal-security-update.com/login,1
http://192.168.43.202/bank/login,1
http://login-google-account-security.com/verify,1
https://bit.ly/free-reward-wallet,1
http://microsoft-support-password-reset.info/claim,1
http://account-update-bank-secure.com/password,1
https://facebook.com@evil-phish.net/login,1
http://wallet-bonus-gift-claim.xyz/free,1
http://netflix.verify.billing-update.top/login,1
https://instagram-account-secure-login.com,1
http://whatsapp.free-reward-claim.online,1
http://secure.bank.verify-login.example.xyz,1
http://google-login-secure.com,1
http://amazon.verify-user.xyz,1
http://apple.com.fake-site.xyz,1
http://verify-brand-account.net/payment/details,1
http://secure-payment-invoice-billing.top/confirm,1
https://news.google.com,0
https://support.apple.com,0
https://pay.amazon.com,0
